Term                                     TermID     DocCount   Start      
---------------------------------------- ---------- ---------- ---------- 
Blank                                    -1         -1         -1         
on                                       2          -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
to                                       5          -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
some                                     0          -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
words                                    1          -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
lines                                    4          -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
Blank                                    -1         -1         -1         
multiple                                 3          -1         -1         
test                                     6          -1         -1         
